"metric","mean_abs_rho","mean_rank_rmse"
"hv_blond",0.8723223809045,4.61361275622046
"nb_Gam",0.849626523139782,4.6668945240936
"nr_hv",0.84842018260566,4.83150473281075
"nb_dist",0.80707576539705,5.08469440613014
"LPCD_mean",0.850888555256546,5.11229883961806
"om_tol",0.779694020879615,5.44662168314299
"nb_latent",0.798967102049644,5.55899123934892
"beta.a",0.710902599767713,6.52663409678744
"beta.w",0.707045736363191,6.5680343194601
"SimpSSI",0.670412322558836,7.05247081448052
"LPCD_sd",0.425505790756496,8.48718294373155
