"scenario","SimpSSI","beta.a","beta.w","om_tol","nr_hv","hv_blond","nb_Gam","nb_latent","nb_dist","LPCD_mean","LPCD_sd"
"result_df_Asy_gamma_env1",5.32740313927279,4.48108708667171,4.24536204530971,1.96709741982459,2.01543207222114,1.90376147825328,1.70400343332077,5.13961872183595,2.09863567346195,4.93758333612435,8.75358222218964
"result_df_Asy_gamma_env2",7.30610599609862,6.88032101847411,7.08784949046637,10.1621869452462,7.66935465937774,7.15847743237495,7.70760708336998,7.11484894310671,8.28264104733715,4.6627250445592,10.8195882097113
"result_df_Asy_normal_env1",5.75021801098517,5.05324796550565,5.32666494405607,2.95896812962754,3.01718512694221,2.80379350352081,2.90681793036772,4.15252684725723,3.16181267953927,4.6310337464439,10.697025167797
"result_df_Asy_normal_env2",8.68630592383589,8.41115940116898,8.58965497483498,6.91371400049644,6.11340421018389,5.36422127654276,5.98516063161031,6.15374180283139,6.98402791792902,5.35892209089577,6.31988044891967
"result_df_Asy_uniform_env1",6.11660741742517,5.52643142231768,5.72833738766677,3.77769461297313,3.73812314517083,3.44345451287693,3.79005072581414,4.52980575436172,3.99459693508084,5.22195465964023,10.1589303325047
"result_df_Asy_uniform_env2",9.4014715380937,9.43516926612721,9.49203919166398,8.23681190581799,6.80241703399975,6.05271349773319,6.57237649637675,6.94746905382468,7.54889428507416,6.56464485028355,6.87244722405945
"result_df_Sym_gamma_env1",5.97591232432742,5.65063677754514,5.67446245615055,3.76063415847188,3.96649854836761,4.34235123018674,3.7443367213558,6.05796959791698,3.684699866668,5.80564730506342,9.88472690574642
"result_df_Sym_gamma_env2",7.2626082905764,6.76904848940556,6.47083158588544,7.48817583725445,6.29857814190165,6.05246650459796,6.1995886318193,5.89263558695886,7.29012179612943,3.42390494146856,9.95079267723853
"result_df_Sym_normal_env1",5.42537884104208,5.16173904246518,4.99607037887398,3.64334325680577,3.75533935387363,4.051971701486,3.62914089335306,5.21378295467211,3.59109590199017,5.26274333553347,10.0736486856238
"result_df_Sym_normal_env2",8.30137513233422,7.66706555428542,7.68715294849088,6.06852742826748,5.29160475447469,5.23665232843036,5.00050517449822,5.60185023745886,5.19703226773844,5.22396639494545,5.4667992263325
"result_df_Sym_uniform_env1",5.89722306852519,4.88026835069831,5.10752725171937,3.15887845934058,3.29536193280047,3.1918669668934,3.16952571334572,3.42375989554412,3.26933881006433,4.23253119768377,6.75778760720349
"result_df_Sym_uniform_env2",9.17904009124957,8.40343478678436,8.41045917840303,7.2234280435898,6.01475781441544,5.7616226417492,5.59362085389148,6.47988547641842,5.91343569254894,6.02192917277503,6.09098661745211
